Format Version,1.22,Take Name,177-A_003,Capture Frame Rate,99.974731,Export Frame Rate,99.974731,Capture Start Time,18 Jan 1970 04:32:50 +0900,Total Frames in Take,1005,Total Exported Frames,1005,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,foot:C7,foot:C7,foot:C7,foot:Cal,foot:Cal,foot:Cal,foot:FibHe,foot:FibHe,foot:FibHe,foot:GT,foot:GT,foot:GT,foot:JN,foot:JN,foot:JN,foot:L_ASIS,foot:L_ASIS,foot:L_ASIS,foot:L_Ep,foot:L_Ep,foot:L_Ep,foot:L_Mal,foot:L_Mal,foot:L_Mal,foot:L_PSIS,foot:L_PSIS,foot:L_PSIS,foot:M_Con,foot:M_Con,foot:M_Con,foot:M_Ep,foot:M_Ep,foot:M_Ep,foot:M_Mal,foot:M_Mal,foot:M_Mal,foot:MetBa1,foot:MetBa1,foot:MetBa1,foot:MetBa2,foot:MetBa2,foot:MetBa2,foot:MetBa5,foot:MetBa5,foot:MetBa5,foot:MetHe1,foot:MetHe1,foot:MetHe1,foot:MetHe2,foot:MetHe2,foot:MetHe2,foot:MetHe5,foot:MetHe5,foot:MetHe5,foot:PerTu,foot:PerTu,foot:PerTu,foot:ProPhaHal,foot:ProPhaHal,foot:ProPhaHal,foot:R_ASIS,foot:R_ASIS,foot:R_ASIS,foot:R_PSIS,foot:R_PSIS,foot:R_PSIS,foot:Shol_L,foot:Shol_L,foot:Shol_L,foot:Shol_R,foot:Shol_R,foot:Shol_R,foot:SusTal,foot:SusTal,foot:SusTal,foot:T8,foot:T8,foot:T8,foot:TiTu,foot:TiTu,foot:TiTu,foot:TubNav,foot:TubNav,foot:TubNav,foot:XP,foot:XP,foot:XP
,,"5F62FCA9A1FC11E910A7E47D538D096","5F62FCA9A1FC11E910A7E47D538D096","5F62FCA9A1FC11E910A7E47D538D096","66988622A1FC11E910A7E47D538D096","66988622A1FC11E910A7E47D538D096","66988622A1FC11E910A7E47D538D096","6698861DA1FC11E910A7E47D538D096","6698861DA1FC11E910A7E47D538D096","6698861DA1FC11E910A7E47D538D096","5F62FCB2A1FC11E910A7E47D538D096","5F62FCB2A1FC11E910A7E47D538D096","5F62FCB2A1FC11E910A7E47D538D096","5954A2BFA1FC11E910A7E47D538D096","5954A2BFA1FC11E910A7E47D538D096","5954A2BFA1FC11E910A7E47D538D096","5F62FCAFA1FC11E910A7E47D538D096","5F62FCAFA1FC11E910A7E47D538D096","5F62FCAFA1FC11E910A7E47D538D096","6698861BA1FC11E910A7E47D538D096","6698861BA1FC11E910A7E47D538D096","6698861BA1FC11E910A7E47D538D096","66988620A1FC11E910A7E47D538D096","66988620A1FC11E910A7E47D538D096","66988620A1FC11E910A7E47D538D096","5F62FCB1A1FC11E910A7E47D538D096","5F62FCB1A1FC11E910A7E47D538D096","5F62FCB1A1FC11E910A7E47D538D096","6698861FA1FC11E910A7E47D538D096","6698861FA1FC11E910A7E47D538D096","6698861FA1FC11E910A7E47D538D096","6698861CA1FC11E910A7E47D538D096","6698861CA1FC11E910A7E47D538D096","6698861CA1FC11E910A7E47D538D096","66988621A1FC11E910A7E47D538D096","66988621A1FC11E910A7E47D538D096","66988621A1FC11E910A7E47D538D096","6CE80870A1FC11E910A7E47D538D096","6CE80870A1FC11E910A7E47D538D096","6CE80870A1FC11E910A7E47D538D096","6CE8086EA1FC11E910A7E47D538D096","6CE8086EA1FC11E910A7E47D538D096","6CE8086EA1FC11E910A7E47D538D096","66988626A1FC11E910A7E47D538D096","66988626A1FC11E910A7E47D538D096","66988626A1FC11E910A7E47D538D096","6CE80871A1FC11E910A7E47D538D096","6CE80871A1FC11E910A7E47D538D096","6CE80871A1FC11E910A7E47D538D096","6CE8086FA1FC11E910A7E47D538D096","6CE8086FA1FC11E910A7E47D538D096","6CE8086FA1FC11E910A7E47D538D096","66988627A1FC11E910A7E47D538D096","66988627A1FC11E910A7E47D538D096","66988627A1FC11E910A7E47D538D096","66988623A1FC11E910A7E47D538D096","66988623A1FC11E910A7E47D538D096","66988623A1FC11E910A7E47D538D096","6CE80872A1FC11E910A7E47D538D096","6CE80872A1FC11E910A7E47D538D096","6CE80872A1FC11E910A7E47D538D096","5F62FCAEA1FC11E910A7E47D538D096","5F62FCAEA1FC11E910A7E47D538D096","5F62FCAEA1FC11E910A7E47D538D096","5F62FCB0A1FC11E910A7E47D538D096","5F62FCB0A1FC11E910A7E47D538D096","5F62FCB0A1FC11E910A7E47D538D096","5F62FCABA1FC11E910A7E47D538D096","5F62FCABA1FC11E910A7E47D538D096","5F62FCABA1FC11E910A7E47D538D096","5F62FCAAA1FC11E910A7E47D538D096","5F62FCAAA1FC11E910A7E47D538D096","5F62FCAAA1FC11E910A7E47D538D096","66988624A1FC11E910A7E47D538D096","66988624A1FC11E910A7E47D538D096","66988624A1FC11E910A7E47D538D096","5F62FCADA1FC11E910A7E47D538D096","5F62FCADA1FC11E910A7E47D538D096","5F62FCADA1FC11E910A7E47D538D096","6698861EA1FC11E910A7E47D538D096","6698861EA1FC11E910A7E47D538D096","6698861EA1FC11E910A7E47D538D096","66988625A1FC11E910A7E47D538D096","66988625A1FC11E910A7E47D538D096","66988625A1FC11E910A7E47D538D096","5F62FCACA1FC11E910A7E47D538D096","5F62FCACA1FC11E910A7E47D538D096","5F62FCACA1FC11E910A7E47D538D096"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.327138,1.798478,0.331340,-0.386724,0.345001,0.335712,-0.327315,0.733322,0.469178,-0.325895,1.166424,0.495446,-0.190973,1.716371,0.339248,-0.216939,1.245868,0.199935,-0.318203,0.782798,0.467744,-0.342764,0.368423,0.396707,-0.413725,1.285361,0.235109,-0.314294,0.734108,0.343633,-0.316499,0.781828,0.331180,-0.318782,0.397968,0.311797,-0.226845,0.362622,0.334223,-0.232619,0.369690,0.376394,-0.291804,0.323222,0.405927,-0.174303,0.338136,0.335346,-0.181198,0.342748,0.379250,-0.219233,0.326091,0.435496,-0.342500,0.333524,0.387159,-0.142295,0.329452,0.343221,-0.233346,1.252837,0.442656,-0.417374,1.292434,0.364625,-0.275350,1.768056,0.134889,-0.278847,1.750490,0.521203,-0.326929,0.355022,0.312363,-0.411761,1.572219,0.316451,-0.256931,0.700904,0.413401,-0.279216,0.354322,0.312796,-0.174561,1.535589,0.331358
1,0.010003,-0.326999,1.798493,0.331421,-0.386734,0.345026,0.335705,-0.327318,0.733310,0.469208,-0.325817,1.166437,0.495526,-0.190823,1.716346,0.339274,-0.216972,1.245877,0.199977,-0.318198,0.782787,0.467780,-0.342739,0.368404,0.396728,-0.413741,1.285403,0.235253,-0.314289,0.734121,0.343656,-0.316478,0.781823,0.331211,-0.318779,0.397967,0.311786,-0.226847,0.362627,0.334231,-0.232641,0.369682,0.376395,-0.291806,0.323207,0.405907,-0.174301,0.338134,0.335351,-0.181188,0.342731,0.379262,-0.219220,0.326088,0.435484,-0.342494,0.333544,0.387139,-0.142273,0.329461,0.343206,-0.233292,1.252829,0.442697,-0.417315,1.292436,0.364746,-0.275298,1.768063,0.134926,-0.278633,1.750511,0.521283,-0.326886,0.355001,0.312378,-0.411699,1.572257,0.316550,-0.256925,0.700893,0.413425,-0.278724,0.354742,0.312249,-0.174447,1.535577,0.331381
2,0.020005,-0.326859,1.798509,0.331501,-0.386744,0.345051,0.335697,-0.327320,0.733299,0.469237,-0.325740,1.166450,0.495606,-0.190673,1.716322,0.339300,-0.217004,1.245886,0.200019,-0.318193,0.782777,0.467815,-0.342713,0.368385,0.396749,-0.413757,1.285445,0.235397,-0.314284,0.734133,0.343680,-0.316457,0.781817,0.331242,-0.318776,0.397967,0.311774,-0.226848,0.362632,0.334238,-0.232662,0.369674,0.376397,-0.291808,0.323192,0.405887,-0.174298,0.338133,0.335357,-0.181177,0.342713,0.379275,-0.219208,0.326084,0.435473,-0.342487,0.333564,0.387119,-0.142251,0.329470,0.343190,-0.233238,1.252821,0.442739,-0.417256,1.292438,0.364868,-0.275245,1.768071,0.134963,-0.278419,1.750532,0.521363,-0.326844,0.354980,0.312393,-0.411636,1.572295,0.316648,-0.256919,0.700882,0.413448,-0.278232,0.355163,0.311702,-0.174333,1.535566,0.331404
3,0.030008,-0.326751,1.798525,0.331559,-0.386732,0.345048,0.335702,-0.327326,0.733307,0.469263,-0.325667,1.166441,0.495660,-0.190547,1.716324,0.339316,-0.217012,1.245887,0.200060,-0.318198,0.782770,0.467835,-0.342700,0.368378,0.396750,-0.413765,1.285511,0.235528,-0.314264,0.734112,0.343706,-0.316457,0.781826,0.331275,-0.318785,0.397965,0.311777,-0.226867,0.362642,0.334242,-0.232673,0.369687,0.376382,-0.291792,0.323202,0.405909,-0.174301,0.338146,0.335341,-0.181185,0.342717,0.379286,-0.219225,0.326078,0.435454,-0.342499,0.333561,0.387135,-0.142234,0.329454,0.343177,-0.233165,1.252803,0.442764,-0.417163,1.292450,0.365008,-0.275165,1.768077,0.135012,-0.278188,1.750568,0.521403,-0.326865,0.355011,0.312395,-0.411568,1.572317,0.316737,-0.256910,0.700870,0.413469,-0.278253,0.355127,0.311756,-0.174189,1.535589,0.331432
4,0.040010,-0.326621,1.798545,0.331606,-0.386740,0.345060,0.335711,-0.327315,0.733283,0.469294,-0.325620,1.166443,0.495717,-0.190388,1.716317,0.339325,-0.217020,1.245890,0.200120,-0.318200,0.782754,0.467864,-0.342086,0.368348,0.396796,-0.413769,1.285546,0.235668,-0.314275,0.734136,0.343744,-0.316460,0.781828,0.331315,-0.318780,0.397981,0.311789,-0.226832,0.362630,0.334252,-0.232638,0.369668,0.376392,-0.291798,0.323188,0.405891,-0.174302,0.338112,0.335304,-0.181180,0.342723,0.379279,-0.219207,0.326089,0.435471,-0.342507,0.333566,0.387114,-0.142247,0.329463,0.343185,-0.233099,1.252781,0.442799,-0.417118,1.292493,0.365110,-0.275071,1.768079,0.135047,-0.277983,1.750607,0.521423,-0.326852,0.355017,0.312397,-0.411518,1.572371,0.316817,-0.256903,0.700869,0.413508,-0.278204,0.355179,0.311687,-0.174085,1.535592,0.331481
5,0.050013,-0.326519,1.798563,0.331657,-0.386743,0.345077,0.335714,-0.327312,0.733274,0.469318,-0.325559,1.166437,0.495772,-0.190263,1.716335,0.339339,-0.217013,1.245872,0.200152,-0.318183,0.782751,0.467911,-0.342097,0.368352,0.396797,-0.413767,1.285612,0.235772,-0.314253,0.734134,0.343785,-0.316464,0.781830,0.331344,-0.318779,0.397971,0.311804,-0.226849,0.362615,0.334220,-0.232639,0.369671,0.376397,-0.291790,0.323187,0.405892,-0.174300,0.338121,0.335318,-0.181168,0.342708,0.379251,-0.219201,0.326085,0.435481,-0.342482,0.333575,0.387122,-0.142241,0.329438,0.343162,-0.233023,1.252771,0.442833,-0.417054,1.292509,0.365214,-0.274997,1.768080,0.135088,-0.277798,1.750644,0.521481,-0.326822,0.355012,0.312389,-0.411442,1.572398,0.316900,-0.256908,0.700861,0.413548,-0.278233,0.355130,0.311738,-0.173941,1.535592,0.331506
