Format Version,1.22,Take Name,186-A_001,Capture Frame Rate,99.962875,Export Frame Rate,99.962875,Capture Start Time,02 Jan 1970 08:31:47 +0900,Total Frames in Take,843,Total Exported Frames,843,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,foot:C7,foot:C7,foot:C7,foot:Cal,foot:Cal,foot:Cal,foot:FibHe,foot:FibHe,foot:FibHe,foot:GT,foot:GT,foot:GT,foot:JN,foot:JN,foot:JN,foot:L_ASIS,foot:L_ASIS,foot:L_ASIS,foot:L_Ep,foot:L_Ep,foot:L_Ep,foot:L_Mal,foot:L_Mal,foot:L_Mal,foot:L_PSIS,foot:L_PSIS,foot:L_PSIS,foot:M_Con,foot:M_Con,foot:M_Con,foot:M_Ep,foot:M_Ep,foot:M_Ep,foot:M_Mal,foot:M_Mal,foot:M_Mal,foot:MetBa1,foot:MetBa1,foot:MetBa1,foot:MetBa2,foot:MetBa2,foot:MetBa2,foot:MetBa5,foot:MetBa5,foot:MetBa5,foot:MetHe1,foot:MetHe1,foot:MetHe1,foot:MetHe2,foot:MetHe2,foot:MetHe2,foot:MetHe5,foot:MetHe5,foot:MetHe5,foot:PerTu,foot:PerTu,foot:PerTu,foot:ProPhaHal,foot:ProPhaHal,foot:ProPhaHal,foot:R_ASIS,foot:R_ASIS,foot:R_ASIS,foot:R_PSIS,foot:R_PSIS,foot:R_PSIS,foot:Shol_L,foot:Shol_L,foot:Shol_L,foot:Shol_R,foot:Shol_R,foot:Shol_R,foot:SusTal,foot:SusTal,foot:SusTal,foot:T8,foot:T8,foot:T8,foot:TiTu,foot:TiTu,foot:TiTu,foot:TubNav,foot:TubNav,foot:TubNav,foot:XP,foot:XP,foot:XP
,,"DFA0E946B33011E9508C6E61D800F6B0","DFA0E946B33011E9508C6E61D800F6B0","DFA0E946B33011E9508C6E61D800F6B0","E63B97D6B33011E9508C6E61D800F6B0","E63B97D6B33011E9508C6E61D800F6B0","E63B97D6B33011E9508C6E61D800F6B0","E63B97D1B33011E9508C6E61D800F6B0","E63B97D1B33011E9508C6E61D800F6B0","E63B97D1B33011E9508C6E61D800F6B0","DFA0E94FB33011E9508C6E61D800F6B0","DFA0E94FB33011E9508C6E61D800F6B0","DFA0E94FB33011E9508C6E61D800F6B0","DFA0E945B33011E9508C6E61D800F6B0","DFA0E945B33011E9508C6E61D800F6B0","DFA0E945B33011E9508C6E61D800F6B0","DFA0E94CB33011E9508C6E61D800F6B0","DFA0E94CB33011E9508C6E61D800F6B0","DFA0E94CB33011E9508C6E61D800F6B0","E63B97CFB33011E9508C6E61D800F6B0","E63B97CFB33011E9508C6E61D800F6B0","E63B97CFB33011E9508C6E61D800F6B0","E63B97D4B33011E9508C6E61D800F6B0","E63B97D4B33011E9508C6E61D800F6B0","E63B97D4B33011E9508C6E61D800F6B0","DFA0E94EB33011E9508C6E61D800F6B0","DFA0E94EB33011E9508C6E61D800F6B0","DFA0E94EB33011E9508C6E61D800F6B0","E63B97D3B33011E9508C6E61D800F6B0","E63B97D3B33011E9508C6E61D800F6B0","E63B97D3B33011E9508C6E61D800F6B0","E63B97D0B33011E9508C6E61D800F6B0","E63B97D0B33011E9508C6E61D800F6B0","E63B97D0B33011E9508C6E61D800F6B0","E63B97D5B33011E9508C6E61D800F6B0","E63B97D5B33011E9508C6E61D800F6B0","E63B97D5B33011E9508C6E61D800F6B0","E63B97DEB33011E9508C6E61D800F6B0","E63B97DEB33011E9508C6E61D800F6B0","E63B97DEB33011E9508C6E61D800F6B0","E63B97DCB33011E9508C6E61D800F6B0","E63B97DCB33011E9508C6E61D800F6B0","E63B97DCB33011E9508C6E61D800F6B0","E63B97DAB33011E9508C6E61D800F6B0","E63B97DAB33011E9508C6E61D800F6B0","E63B97DAB33011E9508C6E61D800F6B0","EC82CA5FB33011E9508C6E61D800F6B0","EC82CA5FB33011E9508C6E61D800F6B0","EC82CA5FB33011E9508C6E61D800F6B0","E63B97DDB33011E9508C6E61D800F6B0","E63B97DDB33011E9508C6E61D800F6B0","E63B97DDB33011E9508C6E61D800F6B0","E63B97DBB33011E9508C6E61D800F6B0","E63B97DBB33011E9508C6E61D800F6B0","E63B97DBB33011E9508C6E61D800F6B0","E63B97D7B33011E9508C6E61D800F6B0","E63B97D7B33011E9508C6E61D800F6B0","E63B97D7B33011E9508C6E61D800F6B0","EC82CA60B33011E9508C6E61D800F6B0","EC82CA60B33011E9508C6E61D800F6B0","EC82CA60B33011E9508C6E61D800F6B0","DFA0E94BB33011E9508C6E61D800F6B0","DFA0E94BB33011E9508C6E61D800F6B0","DFA0E94BB33011E9508C6E61D800F6B0","DFA0E94DB33011E9508C6E61D800F6B0","DFA0E94DB33011E9508C6E61D800F6B0","DFA0E94DB33011E9508C6E61D800F6B0","DFA0E948B33011E9508C6E61D800F6B0","DFA0E948B33011E9508C6E61D800F6B0","DFA0E948B33011E9508C6E61D800F6B0","DFA0E947B33011E9508C6E61D800F6B0","DFA0E947B33011E9508C6E61D800F6B0","DFA0E947B33011E9508C6E61D800F6B0","E63B97D8B33011E9508C6E61D800F6B0","E63B97D8B33011E9508C6E61D800F6B0","E63B97D8B33011E9508C6E61D800F6B0","DFA0E94AB33011E9508C6E61D800F6B0","DFA0E94AB33011E9508C6E61D800F6B0","DFA0E94AB33011E9508C6E61D800F6B0","E63B97D2B33011E9508C6E61D800F6B0","E63B97D2B33011E9508C6E61D800F6B0","E63B97D2B33011E9508C6E61D800F6B0","E63B97D9B33011E9508C6E61D800F6B0","E63B97D9B33011E9508C6E61D800F6B0","E63B97D9B33011E9508C6E61D800F6B0","DFA0E949B33011E9508C6E61D800F6B0","DFA0E949B33011E9508C6E61D800F6B0","DFA0E949B33011E9508C6E61D800F6B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.313692,1.756431,0.255317,-0.387248,0.363262,0.222479,-0.281665,0.703345,0.127875,-0.271507,1.146952,0.119353,-0.182522,1.665641,0.270992,-0.164521,1.223884,0.173841,-0.271823,0.756971,0.130943,-0.330517,0.377706,0.175685,-0.345438,1.260254,0.234662,-0.268965,0.688894,0.246084,-0.261054,0.741087,0.260854,-0.314458,0.398133,0.260224,-0.233541,0.343441,0.259088,-0.237279,0.358411,0.216427,-0.282910,0.327084,0.173022,-0.185296,0.330262,0.264451,-0.182352,0.335769,0.215711,-0.215947,0.322979,0.155928,-0.345280,0.336183,0.184668,-0.146132,0.320846,0.257217,-0.167379,1.225411,0.410881,-0.343502,1.263840,0.348012,-0.247140,1.710450,0.066488,-0.282122,1.725817,0.470046,-0.336288,0.345893,0.258943,-0.368466,1.535746,0.269290,-0.228383,0.654473,0.176445,-0.293066,0.342725,0.266442,-0.151996,1.509750,0.278179
1,0.010004,-0.313599,1.756416,0.255248,-0.387244,0.363238,0.222481,-0.281659,0.703326,0.127846,-0.271467,1.146942,0.119336,-0.182255,1.665666,0.270926,-0.164499,1.223874,0.173806,-0.271810,0.756967,0.130929,-0.330496,0.377732,0.175680,-0.345403,1.260270,0.234637,-0.268957,0.688890,0.246085,-0.261044,0.741104,0.260852,-0.314393,0.398028,0.260182,-0.233551,0.343441,0.259088,-0.237270,0.358422,0.216373,-0.282805,0.327058,0.173077,-0.185328,0.330235,0.264414,-0.182357,0.335745,0.215729,-0.215937,0.323004,0.155907,-0.345267,0.336206,0.184672,-0.146152,0.320823,0.257208,-0.167338,1.225405,0.410821,-0.343450,1.263847,0.347988,-0.247003,1.710485,0.066424,-0.282175,1.725788,0.469975,-0.336286,0.345923,0.258968,-0.368411,1.535738,0.269197,-0.228372,0.654479,0.176419,-0.293067,0.342714,0.266445,-0.151915,1.509711,0.278115
2,0.020007,-0.313506,1.756401,0.255180,-0.387240,0.363214,0.222482,-0.281652,0.703307,0.127817,-0.271428,1.146932,0.119318,-0.181988,1.665692,0.270859,-0.164478,1.223865,0.173771,-0.271797,0.756962,0.130914,-0.330474,0.377759,0.175674,-0.345368,1.260286,0.234612,-0.268949,0.688887,0.246087,-0.261034,0.741120,0.260849,-0.314327,0.397924,0.260140,-0.233560,0.343442,0.259087,-0.237262,0.358433,0.216320,-0.282700,0.327033,0.173131,-0.185361,0.330207,0.264377,-0.182363,0.335722,0.215747,-0.215926,0.323029,0.155886,-0.345254,0.336229,0.184676,-0.146172,0.320800,0.257200,-0.167298,1.225398,0.410762,-0.343399,1.263853,0.347964,-0.246866,1.710520,0.066360,-0.282229,1.725760,0.469904,-0.336283,0.345952,0.258994,-0.368356,1.535729,0.269104,-0.228361,0.654485,0.176394,-0.293067,0.342704,0.266448,-0.151835,1.509672,0.278050
3,0.030011,-0.313461,1.756401,0.255104,-0.387231,0.363218,0.222475,-0.281639,0.703311,0.127813,-0.271407,1.146920,0.119280,-0.181963,1.665665,0.270844,-0.164461,1.223850,0.173726,-0.271791,0.756963,0.130896,-0.330471,0.377753,0.175654,-0.345328,1.260294,0.234581,-0.268955,0.688886,0.246075,-0.261031,0.741114,0.260824,-0.314328,0.397928,0.260139,-0.233548,0.343462,0.259083,-0.237255,0.358440,0.216322,-0.282693,0.327048,0.173112,-0.185348,0.330212,0.264367,-0.182365,0.335739,0.215740,-0.215931,0.323031,0.155895,-0.345268,0.336222,0.184680,-0.146181,0.320792,0.257199,-0.167260,1.225396,0.410711,-0.343352,1.263858,0.347935,-0.246727,1.710550,0.066289,-0.282277,1.725725,0.469836,-0.336288,0.345965,0.258984,-0.368274,1.535731,0.269009,-0.228364,0.654470,0.176366,-0.293054,0.342695,0.266443,-0.151786,1.509671,0.277992
4,0.040015,-0.313404,1.756387,0.255005,-0.387250,0.363212,0.222480,-0.281634,0.703306,0.127801,-0.271393,1.146911,0.119256,-0.181891,1.665674,0.270779,-0.164440,1.223832,0.173694,-0.271787,0.756953,0.130872,-0.330481,0.377751,0.175667,-0.345327,1.260285,0.234557,-0.268948,0.688890,0.246063,-0.261012,0.741118,0.260818,-0.314321,0.397926,0.260141,-0.233550,0.343453,0.259088,-0.237277,0.358418,0.216326,-0.282705,0.327040,0.173116,-0.185348,0.330217,0.264384,-0.182356,0.335726,0.215747,-0.215930,0.323026,0.155904,-0.345255,0.336209,0.184671,-0.146183,0.320805,0.257202,-0.167227,1.225404,0.410677,-0.343321,1.263854,0.347909,-0.246600,1.710574,0.066207,-0.282338,1.725678,0.469754,-0.336272,0.345944,0.258992,-0.368218,1.535731,0.268916,-0.228361,0.654473,0.176370,-0.293058,0.342722,0.266451,-0.151727,1.509681,0.277936
5,0.050019,-0.313320,1.756371,0.254903,-0.387229,0.363210,0.222463,-0.281630,0.703289,0.127791,-0.271366,1.146908,0.119230,-0.181800,1.665689,0.270726,-0.164417,1.223832,0.173662,-0.271775,0.756954,0.130855,-0.330472,0.377748,0.175654,-0.345305,1.260280,0.234535,-0.268955,0.688884,0.246046,-0.261016,0.741117,0.260791,-0.314336,0.397929,0.260151,-0.233553,0.343465,0.259086,-0.237268,0.358431,0.216325,-0.282687,0.327032,0.173121,-0.185328,0.330230,0.264386,-0.182351,0.335716,0.215741,-0.215924,0.323025,0.155899,-0.345239,0.336203,0.184667,-0.146166,0.320792,0.257202,-0.167193,1.225407,0.410639,-0.343298,1.263870,0.347895,-0.246470,1.710603,0.066126,-0.282372,1.725675,0.469665,-0.336303,0.345972,0.258990,-0.368147,1.535740,0.268833,-0.228340,0.654492,0.176383,-0.293057,0.342723,0.266444,-0.151683,1.509658,0.277861
