Format Version,1.22,Take Name,189-A_miss_001,Capture Frame Rate,99.997681,Export Frame Rate,99.997681,Capture Start Time,16 Jan 1970 20:51:33 +0900,Total Frames in Take,1060,Total Exported Frames,1060,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,foot:C7,foot:C7,foot:C7,foot:Cal,foot:Cal,foot:Cal,foot:FibHe,foot:FibHe,foot:FibHe,foot:GT,foot:GT,foot:GT,foot:JN,foot:JN,foot:JN,foot:L_ASIS,foot:L_ASIS,foot:L_ASIS,foot:L_Ep,foot:L_Ep,foot:L_Ep,foot:L_Mal,foot:L_Mal,foot:L_Mal,foot:L_PSIS,foot:L_PSIS,foot:L_PSIS,foot:M_Con,foot:M_Con,foot:M_Con,foot:M_Ep,foot:M_Ep,foot:M_Ep,foot:M_Mal,foot:M_Mal,foot:M_Mal,foot:MetBa1,foot:MetBa1,foot:MetBa1,foot:MetBa2,foot:MetBa2,foot:MetBa2,foot:MetBa5,foot:MetBa5,foot:MetBa5,foot:MetHe1,foot:MetHe1,foot:MetHe1,foot:MetHe2,foot:MetHe2,foot:MetHe2,foot:MetHe5,foot:MetHe5,foot:MetHe5,foot:PerTu,foot:PerTu,foot:PerTu,foot:ProPhaHal,foot:ProPhaHal,foot:ProPhaHal,foot:R_ASIS,foot:R_ASIS,foot:R_ASIS,foot:R_PSIS,foot:R_PSIS,foot:R_PSIS,foot:Shol_L,foot:Shol_L,foot:Shol_L,foot:Shol_R,foot:Shol_R,foot:Shol_R,foot:SusTal,foot:SusTal,foot:SusTal,foot:T8,foot:T8,foot:T8,foot:TiTu,foot:TiTu,foot:TiTu,foot:TubNav,foot:TubNav,foot:TubNav,foot:XP,foot:XP,foot:XP
,,"965DE8E0B33111E9508C6E61D800F6B0","965DE8E0B33111E9508C6E61D800F6B0","965DE8E0B33111E9508C6E61D800F6B0","9CBE7231B33111E9508C6E61D800F6B0","9CBE7231B33111E9508C6E61D800F6B0","9CBE7231B33111E9508C6E61D800F6B0","9CBE722CB33111E9508C6E61D800F6B0","9CBE722CB33111E9508C6E61D800F6B0","9CBE722CB33111E9508C6E61D800F6B0","9CBE7229B33111E9508C6E61D800F6B0","9CBE7229B33111E9508C6E61D800F6B0","9CBE7229B33111E9508C6E61D800F6B0","965DE8DFB33111E9508C6E61D800F6B0","965DE8DFB33111E9508C6E61D800F6B0","965DE8DFB33111E9508C6E61D800F6B0","965DE8E6B33111E9508C6E61D800F6B0","965DE8E6B33111E9508C6E61D800F6B0","965DE8E6B33111E9508C6E61D800F6B0","9CBE722AB33111E9508C6E61D800F6B0","9CBE722AB33111E9508C6E61D800F6B0","9CBE722AB33111E9508C6E61D800F6B0","9CBE722FB33111E9508C6E61D800F6B0","9CBE722FB33111E9508C6E61D800F6B0","9CBE722FB33111E9508C6E61D800F6B0","965DE8E8B33111E9508C6E61D800F6B0","965DE8E8B33111E9508C6E61D800F6B0","965DE8E8B33111E9508C6E61D800F6B0","9CBE722EB33111E9508C6E61D800F6B0","9CBE722EB33111E9508C6E61D800F6B0","9CBE722EB33111E9508C6E61D800F6B0","9CBE722BB33111E9508C6E61D800F6B0","9CBE722BB33111E9508C6E61D800F6B0","9CBE722BB33111E9508C6E61D800F6B0","9CBE7230B33111E9508C6E61D800F6B0","9CBE7230B33111E9508C6E61D800F6B0","9CBE7230B33111E9508C6E61D800F6B0","A2C14219B33111E9508C6E61D800F6B0","A2C14219B33111E9508C6E61D800F6B0","A2C14219B33111E9508C6E61D800F6B0","A2C14217B33111E9508C6E61D800F6B0","A2C14217B33111E9508C6E61D800F6B0","A2C14217B33111E9508C6E61D800F6B0","A2C14215B33111E9508C6E61D800F6B0","A2C14215B33111E9508C6E61D800F6B0","A2C14215B33111E9508C6E61D800F6B0","A2C1421AB33111E9508C6E61D800F6B0","A2C1421AB33111E9508C6E61D800F6B0","A2C1421AB33111E9508C6E61D800F6B0","A2C14218B33111E9508C6E61D800F6B0","A2C14218B33111E9508C6E61D800F6B0","A2C14218B33111E9508C6E61D800F6B0","A2C14216B33111E9508C6E61D800F6B0","A2C14216B33111E9508C6E61D800F6B0","A2C14216B33111E9508C6E61D800F6B0","9CBE7232B33111E9508C6E61D800F6B0","9CBE7232B33111E9508C6E61D800F6B0","9CBE7232B33111E9508C6E61D800F6B0","A2C1421BB33111E9508C6E61D800F6B0","A2C1421BB33111E9508C6E61D800F6B0","A2C1421BB33111E9508C6E61D800F6B0","965DE8E5B33111E9508C6E61D800F6B0","965DE8E5B33111E9508C6E61D800F6B0","965DE8E5B33111E9508C6E61D800F6B0","965DE8E7B33111E9508C6E61D800F6B0","965DE8E7B33111E9508C6E61D800F6B0","965DE8E7B33111E9508C6E61D800F6B0","965DE8E2B33111E9508C6E61D800F6B0","965DE8E2B33111E9508C6E61D800F6B0","965DE8E2B33111E9508C6E61D800F6B0","965DE8E1B33111E9508C6E61D800F6B0","965DE8E1B33111E9508C6E61D800F6B0","965DE8E1B33111E9508C6E61D800F6B0","9CBE7233B33111E9508C6E61D800F6B0","9CBE7233B33111E9508C6E61D800F6B0","9CBE7233B33111E9508C6E61D800F6B0","965DE8E4B33111E9508C6E61D800F6B0","965DE8E4B33111E9508C6E61D800F6B0","965DE8E4B33111E9508C6E61D800F6B0","9CBE722DB33111E9508C6E61D800F6B0","9CBE722DB33111E9508C6E61D800F6B0","9CBE722DB33111E9508C6E61D800F6B0","A2C14214B33111E9508C6E61D800F6B0","A2C14214B33111E9508C6E61D800F6B0","A2C14214B33111E9508C6E61D800F6B0","965DE8E3B33111E9508C6E61D800F6B0","965DE8E3B33111E9508C6E61D800F6B0","965DE8E3B33111E9508C6E61D800F6B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.286115,1.689883,0.323630,-0.347388,0.348129,0.226183,-0.231810,0.706911,0.146668,-0.201400,1.110974,0.143198,-0.149945,1.625892,0.338135,-0.109470,1.189216,0.204656,-0.220433,0.760267,0.151151,-0.298420,0.363639,0.185693,-0.300610,1.237433,0.246790,-0.225165,0.696086,0.265525,-0.224801,0.741478,0.278282,-0.282638,0.386866,0.270497,-0.212420,0.346623,0.265612,-0.200859,0.354767,0.219741,-0.250639,0.329302,0.182889,-0.160329,0.335914,0.267022,-0.157448,0.336208,0.219518,-0.192460,0.324215,0.166727,-0.308865,0.335855,0.192401,-0.123451,0.317492,0.266677,-0.148144,1.184680,0.452829,-0.314612,1.233628,0.350968,-0.217952,1.667805,0.120465,-0.254390,1.646798,0.529250,-0.300882,0.345383,0.269782,-0.343088,1.483662,0.296663,-0.180975,0.660298,0.206300,-0.256827,0.344881,0.275760,-0.116541,1.466541,0.329923
1,0.010000,-0.285871,1.689840,0.323791,-0.347343,0.348157,0.226224,-0.231748,0.706936,0.146673,-0.201514,1.110939,0.143189,-0.149835,1.625595,0.338257,-0.109592,1.189283,0.204586,-0.220367,0.760291,0.151156,-0.298396,0.363653,0.185686,-0.300804,1.237283,0.246853,-0.225072,0.696097,0.265521,-0.224703,0.741506,0.278291,-0.282623,0.386877,0.270493,-0.212406,0.346621,0.265606,-0.200834,0.354790,0.219736,-0.249906,0.327808,0.183482,-0.160310,0.335941,0.267022,-0.157442,0.336226,0.219533,-0.192449,0.324216,0.166741,-0.308856,0.335893,0.192405,-0.123450,0.317499,0.266678,-0.148154,1.184717,0.452861,-0.314695,1.233474,0.351020,-0.217819,1.667715,0.120586,-0.254201,1.646518,0.529353,-0.300871,0.345425,0.269793,-0.343032,1.483684,0.296771,-0.180925,0.660304,0.206310,-0.256497,0.344557,0.275699,-0.116519,1.466271,0.329901
2,0.020000,-0.285627,1.689796,0.323952,-0.347299,0.348185,0.226265,-0.231687,0.706960,0.146679,-0.201629,1.110905,0.143181,-0.149724,1.625298,0.338379,-0.109715,1.189350,0.204516,-0.220302,0.760315,0.151160,-0.298371,0.363666,0.185678,-0.300997,1.237132,0.246915,-0.224979,0.696109,0.265517,-0.224604,0.741534,0.278300,-0.282608,0.386887,0.270488,-0.212393,0.346620,0.265600,-0.200809,0.354814,0.219730,-0.249173,0.326314,0.184075,-0.160291,0.335967,0.267022,-0.157435,0.336244,0.219549,-0.192438,0.324217,0.166756,-0.308847,0.335932,0.192409,-0.123448,0.317506,0.266678,-0.148165,1.184754,0.452893,-0.314778,1.233319,0.351071,-0.217686,1.667624,0.120707,-0.254013,1.646239,0.529457,-0.300860,0.345467,0.269804,-0.342975,1.483706,0.296879,-0.180875,0.660311,0.206321,-0.256167,0.344233,0.275638,-0.116498,1.466000,0.329879
3,0.030001,-0.285359,1.689718,0.324142,-0.347307,0.348242,0.226289,-0.231640,0.706992,0.146670,-0.201752,1.110919,0.143168,-0.149589,1.625039,0.338495,-0.109897,1.189468,0.204441,-0.220259,0.760369,0.151155,-0.298358,0.363675,0.185678,-0.301211,1.236989,0.246988,-0.224887,0.696135,0.265515,-0.224490,0.741575,0.278300,-0.282579,0.386912,0.270481,-0.212207,0.346791,0.265780,-0.200792,0.354826,0.219726,-0.249173,0.326334,0.184037,-0.160293,0.335954,0.267009,-0.157434,0.336231,0.219527,-0.192452,0.324284,0.166750,-0.308851,0.335974,0.192416,-0.123451,0.317525,0.266663,-0.148165,1.184793,0.452915,-0.314920,1.233116,0.351154,-0.217537,1.667536,0.120854,-0.253815,1.645984,0.529585,-0.300863,0.345502,0.269802,-0.342923,1.483728,0.297024,-0.180825,0.660325,0.206294,-0.256422,0.344615,0.275762,-0.116471,1.465700,0.329916
4,0.040001,-0.285084,1.689684,0.324301,-0.347298,0.348314,0.226289,-0.231609,0.707035,0.146679,-0.201970,1.110937,0.143127,-0.149937,1.624151,0.338043,-0.110112,1.189566,0.204335,-0.220226,0.760419,0.151156,-0.298373,0.363730,0.185696,-0.301401,1.236850,0.247108,-0.224778,0.696179,0.265509,-0.224404,0.741626,0.278303,-0.282556,0.386950,0.270494,-0.212345,0.346673,0.265591,-0.200740,0.354858,0.219716,-0.249166,0.326335,0.184056,-0.160280,0.335949,0.267024,-0.157418,0.336254,0.219523,-0.192476,0.324273,0.166766,-0.308823,0.335964,0.192433,-0.123433,0.317531,0.266674,-0.148173,1.184817,0.452917,-0.315083,1.232950,0.351249,-0.217445,1.667449,0.120994,-0.253633,1.645753,0.529717,-0.300828,0.345530,0.269787,-0.342898,1.483763,0.297119,-0.180770,0.660361,0.206279,-0.256439,0.344594,0.275738,-0.116477,1.465449,0.329985
5,0.050001,-0.284836,1.689659,0.324479,-0.347268,0.348349,0.226283,-0.231588,0.707076,0.146670,-0.202219,1.111000,0.143113,-0.149357,1.624569,0.338759,-0.110318,1.189667,0.204229,-0.220213,0.760477,0.151144,-0.298351,0.363753,0.185708,-0.301766,1.236779,0.247234,-0.224652,0.696216,0.265501,-0.224288,0.741664,0.278280,-0.282521,0.386978,0.270485,-0.212345,0.346668,0.265586,-0.200759,0.354836,0.219693,-0.249882,0.327835,0.183508,-0.160230,0.335958,0.267017,-0.157433,0.336241,0.219561,-0.192456,0.324263,0.166732,-0.308816,0.336005,0.192438,-0.123423,0.317525,0.266683,-0.148185,1.184859,0.452900,-0.315177,1.232731,0.351386,-0.217382,1.667384,0.121154,-0.253496,1.645510,0.529825,-0.300816,0.345574,0.269791,-0.342912,1.483808,0.297272,-0.180729,0.660367,0.206209,-0.256418,0.344634,0.275696,-0.116489,1.465180,0.330054
