Format Version,1.22,Take Name,198-A_003,Capture Frame Rate,99.984398,Export Frame Rate,99.984398,Capture Start Time,10 Dec 1969 02:12:09 +0900,Total Frames in Take,1188,Total Exported Frames,1188,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,foot:C7,foot:C7,foot:C7,foot:Cal,foot:Cal,foot:Cal,foot:FibHe,foot:FibHe,foot:FibHe,foot:GT,foot:GT,foot:GT,foot:JN,foot:JN,foot:JN,foot:L_ASIS,foot:L_ASIS,foot:L_ASIS,foot:L_Ep,foot:L_Ep,foot:L_Ep,foot:L_Mal,foot:L_Mal,foot:L_Mal,foot:L_PSIS,foot:L_PSIS,foot:L_PSIS,foot:M_Con,foot:M_Con,foot:M_Con,foot:M_Ep,foot:M_Ep,foot:M_Ep,foot:M_Mal,foot:M_Mal,foot:M_Mal,foot:MetBa1,foot:MetBa1,foot:MetBa1,foot:MetBa2,foot:MetBa2,foot:MetBa2,foot:MetBa5,foot:MetBa5,foot:MetBa5,foot:MetHe1,foot:MetHe1,foot:MetHe1,foot:MetHe2,foot:MetHe2,foot:MetHe2,foot:MetHe5,foot:MetHe5,foot:MetHe5,foot:PerTu,foot:PerTu,foot:PerTu,foot:ProPhaHal,foot:ProPhaHal,foot:ProPhaHal,foot:R_ASIS,foot:R_ASIS,foot:R_ASIS,foot:R_PSIS,foot:R_PSIS,foot:R_PSIS,foot:Shol_L,foot:Shol_L,foot:Shol_L,foot:Shol_R,foot:Shol_R,foot:Shol_R,foot:SusTal,foot:SusTal,foot:SusTal,foot:T8,foot:T8,foot:T8,foot:TiTu,foot:TiTu,foot:TiTu,foot:TubNav,foot:TubNav,foot:TubNav,foot:XP,foot:XP,foot:XP
,,"2757B134A78411E9508C6E61D800ECB0","2757B134A78411E9508C6E61D800ECB0","2757B134A78411E9508C6E61D800ECB0","2ECACD6AA78411E9508C6E61D800ECB0","2ECACD6AA78411E9508C6E61D800ECB0","2ECACD6AA78411E9508C6E61D800ECB0","2ECACD65A78411E9508C6E61D800ECB0","2ECACD65A78411E9508C6E61D800ECB0","2ECACD65A78411E9508C6E61D800ECB0","2757B13DA78411E9508C6E61D800ECB0","2757B13DA78411E9508C6E61D800ECB0","2757B13DA78411E9508C6E61D800ECB0","2757B133A78411E9508C6E61D800ECB0","2757B133A78411E9508C6E61D800ECB0","2757B133A78411E9508C6E61D800ECB0","2757B13AA78411E9508C6E61D800ECB0","2757B13AA78411E9508C6E61D800ECB0","2757B13AA78411E9508C6E61D800ECB0","2ECACD63A78411E9508C6E61D800ECB0","2ECACD63A78411E9508C6E61D800ECB0","2ECACD63A78411E9508C6E61D800ECB0","2ECACD68A78411E9508C6E61D800ECB0","2ECACD68A78411E9508C6E61D800ECB0","2ECACD68A78411E9508C6E61D800ECB0","2757B13CA78411E9508C6E61D800ECB0","2757B13CA78411E9508C6E61D800ECB0","2757B13CA78411E9508C6E61D800ECB0","2ECACD67A78411E9508C6E61D800ECB0","2ECACD67A78411E9508C6E61D800ECB0","2ECACD67A78411E9508C6E61D800ECB0","2ECACD64A78411E9508C6E61D800ECB0","2ECACD64A78411E9508C6E61D800ECB0","2ECACD64A78411E9508C6E61D800ECB0","2ECACD69A78411E9508C6E61D800ECB0","2ECACD69A78411E9508C6E61D800ECB0","2ECACD69A78411E9508C6E61D800ECB0","34E1B49DA78411E9508C6E61D800ECB0","34E1B49DA78411E9508C6E61D800ECB0","34E1B49DA78411E9508C6E61D800ECB0","34E1B49BA78411E9508C6E61D800ECB0","34E1B49BA78411E9508C6E61D800ECB0","34E1B49BA78411E9508C6E61D800ECB0","34E1B499A78411E9508C6E61D800ECB0","34E1B499A78411E9508C6E61D800ECB0","34E1B499A78411E9508C6E61D800ECB0","34E1B49EA78411E9508C6E61D800ECB0","34E1B49EA78411E9508C6E61D800ECB0","34E1B49EA78411E9508C6E61D800ECB0","34E1B49CA78411E9508C6E61D800ECB0","34E1B49CA78411E9508C6E61D800ECB0","34E1B49CA78411E9508C6E61D800ECB0","34E1B49AA78411E9508C6E61D800ECB0","34E1B49AA78411E9508C6E61D800ECB0","34E1B49AA78411E9508C6E61D800ECB0","2ECACD6BA78411E9508C6E61D800ECB0","2ECACD6BA78411E9508C6E61D800ECB0","2ECACD6BA78411E9508C6E61D800ECB0","34E1B49FA78411E9508C6E61D800ECB0","34E1B49FA78411E9508C6E61D800ECB0","34E1B49FA78411E9508C6E61D800ECB0","2757B139A78411E9508C6E61D800ECB0","2757B139A78411E9508C6E61D800ECB0","2757B139A78411E9508C6E61D800ECB0","2757B13BA78411E9508C6E61D800ECB0","2757B13BA78411E9508C6E61D800ECB0","2757B13BA78411E9508C6E61D800ECB0","2757B136A78411E9508C6E61D800ECB0","2757B136A78411E9508C6E61D800ECB0","2757B136A78411E9508C6E61D800ECB0","2757B135A78411E9508C6E61D800ECB0","2757B135A78411E9508C6E61D800ECB0","2757B135A78411E9508C6E61D800ECB0","2ECACD6CA78411E9508C6E61D800ECB0","2ECACD6CA78411E9508C6E61D800ECB0","2ECACD6CA78411E9508C6E61D800ECB0","2757B138A78411E9508C6E61D800ECB0","2757B138A78411E9508C6E61D800ECB0","2757B138A78411E9508C6E61D800ECB0","2ECACD66A78411E9508C6E61D800ECB0","2ECACD66A78411E9508C6E61D800ECB0","2ECACD66A78411E9508C6E61D800ECB0","34E1B498A78411E9508C6E61D800ECB0","34E1B498A78411E9508C6E61D800ECB0","34E1B498A78411E9508C6E61D800ECB0","2757B137A78411E9508C6E61D800ECB0","2757B137A78411E9508C6E61D800ECB0","2757B137A78411E9508C6E61D800ECB0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.265978,1.744594,0.277465,-0.373207,0.357436,0.332011,-0.320392,0.703285,0.411268,-0.357393,1.149630,0.433451,-0.173694,1.637945,0.288068,-0.225325,1.213200,0.164847,-0.315095,0.770140,0.408390,-0.330145,0.363365,0.381142,-0.402574,1.279000,0.220483,-0.317800,0.682977,0.306363,-0.317511,0.761120,0.286488,-0.306903,0.394657,0.299940,-0.221322,0.344824,0.317069,-0.237655,0.359702,0.361927,-0.286148,0.324829,0.388743,-0.181001,0.336775,0.320121,-0.185849,0.336804,0.368275,-0.222751,0.328154,0.410743,-0.345332,0.330294,0.368804,-0.138824,0.322036,0.336000,-0.237488,1.206093,0.393769,-0.405801,1.276572,0.323141,-0.183787,1.696606,0.094195,-0.228712,1.669819,0.477480,-0.321198,0.339035,0.301354,-0.376208,1.548019,0.265518,-0.264097,0.663006,0.354884,-0.274548,0.349071,0.300426,-0.177364,1.462896,0.279873
1,0.010002,-0.265869,1.744626,0.276610,-0.373183,0.357505,0.331897,-0.320013,0.703361,0.410987,-0.357024,1.149676,0.433076,-0.173484,1.638075,0.287429,-0.224657,1.213203,0.164557,-0.314708,0.770191,0.408087,-0.330123,0.363430,0.381064,-0.402030,1.278963,0.220000,-0.317383,0.682989,0.306072,-0.316946,0.761173,0.286154,-0.306820,0.394654,0.299831,-0.221307,0.344805,0.317028,-0.237648,0.359696,0.361843,-0.286150,0.324883,0.388693,-0.181042,0.336644,0.319984,-0.185833,0.336791,0.368249,-0.222736,0.328196,0.410702,-0.345315,0.330358,0.368730,-0.138817,0.322047,0.335999,-0.237074,1.206229,0.393448,-0.405316,1.276570,0.322660,-0.183466,1.696533,0.093509,-0.228653,1.670036,0.476782,-0.321168,0.339013,0.301267,-0.375859,1.547987,0.264803,-0.263713,0.663015,0.354658,-0.274493,0.349044,0.300364,-0.177056,1.462966,0.279379
2,0.020003,-0.265761,1.744658,0.275754,-0.373159,0.357575,0.331783,-0.319633,0.703437,0.410706,-0.356655,1.149723,0.432701,-0.173274,1.638206,0.286790,-0.223988,1.213205,0.164267,-0.314322,0.770242,0.407784,-0.330101,0.363495,0.380987,-0.401486,1.278926,0.219518,-0.316966,0.683001,0.305781,-0.316380,0.761226,0.285820,-0.306737,0.394651,0.299721,-0.221292,0.344786,0.316988,-0.237640,0.359690,0.361759,-0.286153,0.324936,0.388643,-0.181082,0.336513,0.319847,-0.185817,0.336778,0.368223,-0.222722,0.328238,0.410662,-0.345297,0.330422,0.368655,-0.138810,0.322057,0.335998,-0.236661,1.206365,0.393126,-0.404831,1.276568,0.322178,-0.183146,1.696460,0.092823,-0.228594,1.670253,0.476083,-0.321139,0.338992,0.301180,-0.375510,1.547955,0.264089,-0.263328,0.663023,0.354432,-0.274438,0.349017,0.300302,-0.176748,1.463035,0.278885
3,0.030005,-0.265625,1.744688,0.274950,-0.373111,0.357624,0.331715,-0.319210,0.703465,0.410440,-0.356187,1.149741,0.432359,-0.173105,1.638284,0.286180,-0.223350,1.213223,0.163989,-0.313882,0.770288,0.407479,-0.330095,0.363535,0.380912,-0.400986,1.278898,0.219104,-0.316484,0.683015,0.305517,-0.315802,0.761228,0.285512,-0.306685,0.394615,0.299631,-0.221277,0.344763,0.316980,-0.237629,0.359682,0.361654,-0.286134,0.324956,0.388627,-0.181065,0.336468,0.319843,-0.185787,0.336761,0.368190,-0.222729,0.328246,0.410641,-0.345298,0.330466,0.368610,-0.138790,0.322050,0.336016,-0.236222,1.206455,0.392835,-0.404394,1.276530,0.321698,-0.182844,1.696370,0.092160,-0.228510,1.670475,0.475413,-0.321102,0.338990,0.301131,-0.375199,1.547854,0.263437,-0.262930,0.662979,0.354196,-0.274393,0.348980,0.300246,-0.176433,1.463114,0.278416
4,0.040006,-0.265479,1.744724,0.274239,-0.373087,0.357653,0.331651,-0.318719,0.703496,0.410175,-0.355718,1.149779,0.431993,-0.172921,1.638412,0.285563,-0.222702,1.213195,0.163714,-0.313372,0.770311,0.407178,-0.330049,0.363560,0.380870,-0.400460,1.278825,0.218676,-0.316022,0.683015,0.305255,-0.315272,0.761224,0.285211,-0.306592,0.394594,0.299559,-0.221240,0.344766,0.316930,-0.237526,0.359721,0.361665,-0.286126,0.324984,0.388583,-0.181059,0.336436,0.319791,-0.185777,0.336772,0.368173,-0.222714,0.328265,0.410613,-0.345248,0.330496,0.368569,-0.138788,0.322043,0.336013,-0.235807,1.206559,0.392536,-0.403979,1.276443,0.321226,-0.182547,1.696321,0.091512,-0.228471,1.670690,0.474759,-0.321062,0.338949,0.301105,-0.374953,1.547818,0.262807,-0.262507,0.662918,0.353964,-0.274359,0.348952,0.300193,-0.176160,1.463180,0.278005
5,0.050008,-0.265366,1.744766,0.273599,-0.373052,0.357692,0.331607,-0.318192,0.703537,0.409931,-0.355290,1.149807,0.431638,-0.172829,1.638484,0.285054,-0.221846,1.213247,0.163561,-0.312831,0.770330,0.406889,-0.330024,0.363636,0.380827,-0.399877,1.278743,0.218184,-0.315536,0.683012,0.305015,-0.314713,0.761214,0.284914,-0.306534,0.394559,0.299478,-0.221247,0.344716,0.316937,-0.237610,0.359697,0.361604,-0.286119,0.325001,0.388563,-0.181037,0.336420,0.319808,-0.185763,0.336762,0.368138,-0.222703,0.328285,0.410601,-0.345235,0.330532,0.368541,-0.138787,0.322047,0.336031,-0.235338,1.206674,0.392234,-0.403556,1.276390,0.320725,-0.182289,1.696256,0.090904,-0.228443,1.670888,0.474116,-0.321063,0.338954,0.301072,-0.374680,1.547744,0.262183,-0.262050,0.662865,0.353732,-0.274338,0.348936,0.300194,-0.175924,1.463274,0.277554
